GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[2/25],95.3,81.6,68.9
NVIDIA RTX 4090 Cybertank,[4/25],63.1,55.8,47.1
NVIDIA RTX 5080 FE,[2/25],60.4,53.5,45.1
Sapphire RX 7900 XTX Nitro,[2/25],57.4,52.1,44.0
Sapphire RX 9070 XT Pulse,[3/25],52.6,47.8,40.4
ASUS RTX 5070 Ti Prime,[2/25],49.7,44.9,37.9
NVIDIA RTX 4080 FE,[2/25],48.0,43.3,36.6
Sapphire RX 9070 Pulse,[2/25],46.9,43.0,36.3
PowerColor RX 7900 XT Hellhound,[2/25],45.8,42.2,35.6
NVIDIA RTX 5070 FE,[2/25],40.7,37.1,31.3
ASUS RTX 4070 Ti TUF,[2/25],38.3,34.4,29.1
Sapphire RX 7900 GRE Pulse,[3/25],37.5,34.1,28.8
EVGA RTX 3080 FTW3 Ultra,[2/25],34.6,32.0,27.0
AMD RX 7800 XT Ref,[2/25],34.2,31.6,26.7
PNY RTX 5060 Ti,[4/25],31.2,28.6,24.1
NVIDIA RTX 3070 Ti FE,[2/25],26.2,23.5,19.9
Gigabyte RTX 5060 Eagle OC,[5/25],24.4,22.0,18.6
Colorful RTX 3070 BiliBili,[2/25],24.2,22.1,18.7
EVGA RTX 2070 Super XC Ultra,[2/25],18.7,17.3,14.6
EVGA RTX 2070,[2/25],16.7,15.6,13.2
