GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],194.1,140.5,118.7
NVIDIA RTX 4090 Cybertank,[4/25],167.6,139.3,117.7
NVIDIA RTX 5080 FE,[1/25],146.0,122.3,103.2
NVIDIA RTX 4080 FE,[1/25],137.0,116.3,98.2
Sapphire RX 7900 XTX Nitro,[1/25],133.5,109.6,92.6
ASUS RTX 5070 Ti Prime,[2/25],130.9,109.7,92.7
Sapphire RX 9070 XT Pulse,[3/25],126.1,102.5,86.6
ASUS RTX 4070 Ti Super TUF,[1/25],120.4,102.5,86.6
Sapphire RX 9070 Pulse,[2/25],118.7,95.7,80.9
PowerColor RX 7900 XT Hellhound,[1/25],116.4,93.8,79.3
ASUS RTX 4070 Ti TUF,[1/25],113.3,96.6,81.7
NVIDIA RTX 5070 FE,[2/25],107.4,89.6,75.8
EVGA RTX 3090 Ti FTW3 Ultra,[1/25],107.3,92.0,77.8
Sapphire RX 7900 GRE Pulse,[3/25],96.3,78.7,66.5
Sapphire RX 6950 XT Nitro,[1/25],92.5,70.8,59.9
NVIDIA RTX 4070 FE,[12/24],91.1,77.2,65.3
Gigabyte Aorus RTX 3090 Master,[1/25],90.8,75.9,64.2
AMD RX 7800 XT Ref,[12/24],86.8,69.6,58.8
EVGA RTX 3080 FTW3 Ultra,[1/25],85.7,71.9,60.8
PNY RTX 5060 Ti,[4/25],82.0,68.7,58.1
XFX RX 7700 XT Black,[12/24],76.3,61.5,52.0
NVIDIA RTX 4060 Ti FE,[12/24],68.4,57.7,48.8
Colorful RTX 3070 BiliBili,[12/24],66.9,56.0,47.4
Gigabyte RTX 5060 Eagle OC,[5/25],66.6,55.4,46.9
EVGA RTX 3060 Ti FTW3,[12/24],59.9,49.8,42.1
XFX RX 6700 XT MERC Black,[12/24],59.4,45.9,38.8
ASUS RTX 4060 Dual,[12/24],54.3,44.1,37.3
AMD RX 7600 Ref,[12/24],53.1,40.3,34.1
PowerColor RX 6600 XT Red Devil,[12/24],51.2,41.4,35.0
EVGA RTX 3060 XC Black,[12/24],45.2,37.9,32.1
Acer Arc A770 BiFrost,[12/24],44.2,39.1,29.4
Intel Arc B580 Ref,[12/24],44.2,36.6,27.5
EVGA RTX 2070,[2/25],44.0,36.6,31.0
Sparkle Arc A750 Titan,[12/24],41.7,36.6,27.5
EVGA RTX 2060 KO,[12/24],35.1,28.5,24.1
