GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],85.5,74.3,62.8
NVIDIA RTX 4090 Cybertank,[4/25],66.9,58.6,49.5
NVIDIA RTX 5080 FE,[1/25],57.6,51.5,43.5
NVIDIA RTX 4080 Super FE,[1/25],51.7,46.0,38.9
ASUS RTX 5070 Ti Prime,[2/25],51.1,45.8,38.7
Sapphire RX 7900 XTX Nitro,[1/25],49.1,44.0,37.2
Sapphire RX 9070 XT Pulse,[3/25],45.6,41.3,34.9
EVGA RTX 3090 Ti FTW3 Ultra,[1/25],45.3,40.4,34.1
ASUS RTX 4070 Ti Super TUF,[1/25],45.1,40.4,34.1
Sapphire RX 9070 Pulse,[2/25],41.2,37.1,31.4
ASUS RTX 4070 Ti TUF,[1/25],40.2,36.3,30.7
NVIDIA RTX 5070 FE,[2/25],40.1,36.5,30.9
PowerColor RX 7900 XT Hellhound,[1/25],39.6,36.0,30.4
Gigabyte Aorus RTX 3090 Master,[1/25],38.9,35.0,29.6
EVGA RTX 3080 FTW3 Ultra,[1/25],36.6,33.0,27.9
Sapphire RX 6950 XT Nitro,[1/25],35.0,32.0,27.1
Sapphire RX 7900 GRE Pulse,[3/25],33.2,30.2,25.5
PNY RTX 5060 Ti,[4/25],31.1,28.5,24.1
AMD RX 7800 XT Ref,[12/24],30.6,28.1,23.8
NVIDIA RTX 3070 Ti FE,[2/25],28.2,25.7,21.7
EVGA RTX 2080 Ti XC Ultra,[1/25],25.3,23.1,19.5
Gigabyte RTX 5060 Eagle OC,[5/25],25.2,23.1,19.5
EVGA RTX 2080,[2/25],19.6,17.9,15.1
EVGA RTX 2070 Super XC Ultra,[2/25],18.3,16.6,14.0
EVGA RTX 2070,[2/25],16.5,15.2,12.8
