GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],147.4,70.9,45.5
NVIDIA RTX 4090 Cybertank,[4/25],131.8,65.3,41.6
Sapphire RX 7900 XTX Nitro,[1/25],112.0,57.4,38.3
NVIDIA RTX 5080 FE,[1/25],110.3,57.7,36.3
NVIDIA RTX 4080 Super FE,[1/25],107.6,66.2,45.4
Sapphire RX 9070 XT Pulse,[3/25],105.3,60.3,36.1
ASUS RTX 5070 Ti Prime,[2/25],101.3,66.4,43.6
PowerColor RX 7900 XT Hellhound,[1/25],98.0,64.8,43.1
ASUS RTX 4070 Ti Super TUF,[1/25],97.5,63.1,42.7
Sapphire RX 9070 Pulse,[2/25],96.1,63.2,43.4
ASUS RTX 4070 Ti TUF,[1/25],91.6,60.0,45.9
NVIDIA RTX 5070 FE,[2/25],83.4,60.2,41.7
Sapphire RX 6950 XT Nitro,[1/25],82.1,58.3,48.9
Sapphire RX 7900 GRE Pulse,[3/25],82.0,59.0,42.0
NVIDIA RTX 4070 FE,[12/24],75.4,58.9,48.5
AMD RX 7800 XT Ref,[12/24],75.3,55.2,38.6
EVGA RTX 3080 FTW3 Ultra,[1/25],71.7,55.0,48.9
PNY RTX 5060 Ti,[4/25],65.2,49.9,41.9
NVIDIA RTX 3070 Ti FE,[2/25],60.1,48.1,37.2
XFX RX 7700 XT Black,[12/24],59.6,46.8,31.6
NVIDIA RTX 4060 Ti FE,[12/24],57.5,45.7,35.9
Colorful RTX 3070 BiliBili,[12/24],56.4,44.4,36.6
Gigabyte RTX 5060 Eagle OC,[5/25],51.6,42.6,35.1
EVGA RTX 3060 Ti FTW3,[12/24],50.0,40.2,34.3
ASUS RTX 4060 Dual,[12/24],47.3,37.9,29.7
XFX RX 6700 XT MERC Black,[12/24],47.2,38.4,30.7
AMD RX 7600 Ref,[12/24],42.5,34.3,26.8
Intel Arc B580 Ref,[12/24],40.6,30.9,15.7
PowerColor RX 6600 XT Red Devil,[12/24],37.9,31.4,25.3
EVGA RTX 3060 XC Black,[12/24],37.7,30.7,25.9
Acer Arc A770 BiFrost,[12/24],36.6,20.8,17.9
Sparkle Arc B570 Guardian,[1/25],36.2,17.6,14.9
Sparkle Arc A750 Titan,[12/24],34.1,20.6,18.7
XFX RX 6600 CORE,[12/24],31.7,26.4,22.5
EVGA RTX 2060 KO,[12/24],30.0,24.5,21.9
