GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],157.6,123.1,104.0
NVIDIA RTX 5080 FE,[1/25],121.5,95.7,80.9
NVIDIA RTX 4090 Cybertank,[4/25],119.7,92.9,78.5
ASUS RTX 5070 Ti Prime,[2/25],111.5,88.7,75.0
NVIDIA RTX 4080 FE,[1/25],105.6,85.0,71.9
NVIDIA RTX 5070 FE,[2/25],97.2,80.6,68.1
ASUS RTX 4070 Ti TUF,[1/25],91.5,76.8,64.9
NVIDIA RTX 4070 FE,[12/24],80.3,68.4,57.8
EVGA RTX 3090 Ti FTW3 Ultra,[1/25],77.8,65.7,55.5
PNY RTX 5060 Ti,[4/25],74.4,62.8,53.1
Sapphire RX 9070 XT Pulse,[3/25],73.0,58.9,49.8
Gigabyte Aorus RTX 3090 Master,[1/25],70.9,58.5,49.5
Sapphire RX 9070 Pulse,[2/25],66.8,53.8,45.5
EVGA RTX 3080 FTW3 Ultra,[1/25],65.9,55.7,47.1
Gigabyte RTX 5060 Eagle OC,[5/25],63.7,54.6,46.2
NVIDIA RTX 4060 Ti FE,[12/24],62.6,54.0,45.7
Colorful RTX 3070 BiliBili,[12/24],52.3,43.8,37.0
ASUS RTX 4060 Dual,[12/24],51.8,43.0,36.4
Sapphire RX 7900 XTX Nitro,[1/25],49.4,39.1,33.1
EVGA RTX 3060 Ti FTW3,[12/24],47.5,40.8,34.5
PowerColor RX 7900 XT Hellhound,[1/25],40.2,31.6,26.7
Sapphire RX 6950 XT Nitro,[1/25],37.5,27.0,22.8
EVGA RTX 2070 Super XC Ultra,[2/25],36.6,31.3,26.5
EVGA RTX 3060 XC Black,[12/24],35.9,30.8,26.0
Sapphire RX 7900 GRE Pulse,[3/25],35.9,27.0,22.8
AMD RX 7800 XT Ref,[12/24],34.4,26.0,22.0
Intel Arc B580 Ref,[12/24],34.4,27.6,20.8
EVGA RTX 2070,[2/25],33.0,28.8,24.4
Acer Arc A770 BiFrost,[12/24],30.6,19.9,16.8
XFX RX 7700 XT Black,[12/24],30.1,22.9,19.4
Sparkle Arc A750 Titan,[12/24],29.6,19.5,16.5
Sparkle Arc B570 Guardian,[1/25],28.4,17.7,15.0
EVGA RTX 2060 KO,[12/24],27.1,23.3,19.7
XFX RX 6700 XT MERC Black,[12/24],23.5,16.9,14.3
AMD RX 7600 Ref,[12/24],19.7,13.0,11.0
PowerColor RX 6600 XT Red Devil,[12/24],18.8,12.1,10.2
