GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],126.4,112.6,95.2
NVIDIA RTX 4090 Cybertank,[4/25],90.7,80.4,67.9
NVIDIA RTX 5080 FE,[1/25],81.0,73.0,61.7
Sapphire RX 7900 XTX Nitro,[1/25],72.5,64.8,54.8
ASUS RTX 5070 Ti Prime,[2/25],69.2,62.1,52.5
NVIDIA RTX 4080 Super FE,[1/25],67.4,60.6,51.2
NVIDIA RTX 4080 FE,[1/25],67.2,60.2,50.9
Sapphire RX 9070 XT Pulse,[3/25],61.6,55.1,46.6
EVGA RTX 3090 Ti FTW3 Ultra,[1/25],59.9,53.5,45.2
ASUS RTX 4070 Ti Super TUF,[1/25],57.5,51.8,43.8
Sapphire RX 9070 Pulse,[2/25],55.6,49.9,42.2
NVIDIA RTX 5070 FE,[2/25],55.5,50.5,42.7
PowerColor RX 7900 XT Hellhound,[1/25],55.0,48.8,41.3
Sapphire RX 6950 XT Nitro,[1/25],52.6,45.3,38.3
Gigabyte Aorus RTX 3090 Master,[1/25],51.6,45.9,38.8
ASUS RTX 4070 Ti TUF,[1/25],51.6,46.1,39.0
Sapphire RX 7900 GRE Pulse,[3/25],46.2,40.6,34.3
EVGA RTX 3080 FTW3 Ultra,[1/25],45.3,39.6,33.5
PNY RTX 5060 Ti,[4/25],38.3,34.4,29.1
Gigabyte RTX 5060 Eagle OC,[5/25],31.6,28.5,24.1
EVGA RTX 2080 Ti XC Ultra,[1/25],31.3,27.3,23.1
