GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],176.1,152.0,128.3
NVIDIA RTX 4090 Cybertank,[4/25],135.9,116.9,98.7
NVIDIA RTX 5080 FE,[1/25],116.8,104.9,88.6
NVIDIA RTX 4080 FE,[1/25],104.3,93.0,78.6
NVIDIA RTX 4080 Super FE,[1/25],104.2,92.4,78.1
ASUS RTX 5070 Ti Prime,[2/25],102.8,91.6,77.4
ASUS RTX 4070 Ti Super TUF,[1/25],89.5,79.5,67.2
Sapphire RX 9070 XT Pulse,[3/25],88.5,79.3,67.0
EVGA RTX 3090 Ti FTW3 Ultra,[1/25],88.2,78.2,66.1
Sapphire RX 7900 XTX Nitro,[1/25],86.5,78.2,66.1
ASUS RTX 4070 Ti TUF,[1/25],84.0,75.1,63.5
NVIDIA RTX 5070 FE,[2/25],80.8,72.9,61.6
Sapphire RX 9070 Pulse,[2/25],77.7,69.5,58.8
Gigabyte Aorus RTX 3090 Master,[1/25],75.1,65.4,55.3
PowerColor RX 7900 XT Hellhound,[1/25],71.4,64.3,54.4
EVGA RTX 3080 FTW3 Ultra,[1/25],70.0,61.8,52.2
Sapphire RX 7900 GRE Pulse,[3/25],61.7,55.8,47.2
PNY RTX 5060 Ti,[4/25],60.2,53.4,45.1
Sapphire RX 6950 XT Nitro,[1/25],57.9,50.8,43.0
AMD RX 7800 XT Ref,[12/24],53.8,48.1,40.7
Gigabyte RTX 5060 Eagle OC,[5/25],49.4,44.7,37.8
EVGA RTX 2080 Ti XC Ultra,[1/25],46.3,40.7,34.4
