GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],206.7,174.2,143.6
NVIDIA RTX 4090 Cybertank,[4/25],151.2,125.8,103.7
Sapphire RX 7900 XTX Nitro,[1/25],126.2,110.1,90.8
NVIDIA RTX 5080 FE,[1/25],122.4,102.8,84.7
ASUS RTX 5070 Ti Prime,[2/25],106.5,89.5,73.8
NVIDIA RTX 4080 Super FE,[1/25],105.3,88.3,72.8
Sapphire RX 9070 XT Pulse,[3/25],102.9,88.1,72.6
PowerColor RX 7900 XT Hellhound,[1/25],99.9,86.9,71.7
Sapphire RX 9070 Pulse,[2/25],91.0,77.9,64.3
Sapphire RX 6950 XT Nitro,[1/25],89.0,77.6,64.0
Sapphire RX 7900 GRE Pulse,[3/25],82.7,71.9,59.3
ASUS RTX 4070 Ti TUF,[1/25],79.7,67.3,55.5
NVIDIA RTX 5070 FE,[2/25],78.3,66.3,54.7
AMD RX 7800 XT Ref,[12/24],72.4,62.3,51.4
EVGA RTX 3080 FTW3 Ultra,[1/25],69.0,57.3,47.3
NVIDIA RTX 4070 FE,[12/24],62.6,52.6,43.4
XFX RX 7700 XT Black,[12/24],60.6,52.7,43.5
PNY RTX 5060 Ti,[4/25],56.8,47.8,39.4
NVIDIA RTX 3070 Ti FE,[2/25],52.5,43.6,36.0
XFX RX 6700 XT MERC Black,[12/24],48.4,41.8,34.5
Colorful RTX 3070 BiliBili,[12/24],47.4,39.4,32.5
Gigabyte RTX 5060 Eagle OC,[5/25],46.4,38.9,32.1
Acer Arc A770 BiFrost,[12/24],46.1,39.6,32.7
Intel Arc B580 Ref,[12/24],45.6,35.0,28.9
NVIDIA RTX 4060 Ti FE,[12/24],45.0,37.5,30.9
EVGA RTX 3060 Ti FTW3,[12/24],43.2,35.6,29.4
Sparkle Arc B570 Guardian,[1/25],39.4,34.1,28.1
AMD RX 7600 Ref,[12/24],36.8,31.7,26.2
PowerColor RX 6600 XT Red Devil,[12/24],35.6,30.9,25.5
ASUS RTX 4060 Dual,[12/24],34.7,28.9,23.8
EVGA RTX 2070 Super XC Ultra,[2/25],34.2,27.1,22.4
EVGA RTX 2070,[2/25],30.7,24.2,20.0
XFX RX 6600 CORE,[12/24],29.0,24.6,20.3
EVGA RTX 3050 XC Black,[12/24],29.9,24.3,20.0
EVGA RTX 2060 KO,[12/24],24.2,19.5,16.1
