GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],188.7,147.3,124.5
NVIDIA RTX 4090 Cybertank,[4/25],155.0,128.3,108.4
NVIDIA RTX 5080 FE,[1/25],133.7,110.5,93.4
Sapphire RX 7900 XTX Nitro,[1/25],125.7,98.9,83.6
NVIDIA RTX 4080 Super FE,[1/25],121.1,100.8,85.2
ASUS RTX 5070 Ti Prime,[2/25],119.9,98.8,83.5
Sapphire RX 9070 XT Pulse,[3/25],116.0,93.3,78.9
Sapphire RX 9070 Pulse,[2/25],106.1,85.5,72.3
PowerColor RX 7900 XT Hellhound,[1/25],104.1,83.3,70.4
ASUS RTX 4070 Ti TUF,[1/25],96.7,81.1,68.6
NVIDIA RTX 5070 FE,[2/25],95.8,78.6,66.5
Sapphire RX 7900 GRE Pulse,[3/25],86.3,68.7,58.1
Sapphire RX 6950 XT Nitro,[1/25],85.6,63.3,53.5
AMD RX 7800 XT Ref,[12/24],78.8,61.5,52.0
NVIDIA RTX 4070 FE,[12/24],78.2,64.1,54.2
EVGA RTX 3080 FTW3 Ultra,[1/25],77.5,63.5,53.7
PNY RTX 5060 Ti 16GB,[4/25],69.8,58.0,49.0
XFX RX 7700 XT Black,[12/24],66.8,53.7,45.4
NVIDIA RTX 3070 Ti FE,[2/25],65.2,53.0,44.8
Colorful RTX 3070 BiliBili,[12/24],58.8,47.6,40.3
NVIDIA RTX 4060 Ti FE,[12/24],57.3,48.1,40.7
Gigabyte RTX 5060 Eagle OC,[5/25],57.1,46.8,39.6
XFX RX 6700 XT MERC Black,[12/24],53.1,40.2,34.0
EVGA RTX 3060 Ti FTW3,[12/24],53.0,43.1,36.5
AMD RX 7600 Ref,[12/24],45.2,36.8,31.1
ASUS RTX 4060 Dual,[12/24],45.0,36.3,30.7
Intel Arc B580 Ref,[12/24],44.1,36.4,27.4
PowerColor RX 6600 XT Red Devil,[12/24],42.1,33.8,28.6
Acer Arc A770 BiFrost,[12/24],42.1,36.2,27.2
EVGA RTX 2070 Super XC Ultra,[2/25],41.7,33.8,28.6
Sparkle Arc A750 Titan,[12/24],40.1,31.3,23.5
EVGA RTX 3060 XC Black,[12/24],39.4,32.0,27.1
EVGA RTX 2070,[2/25],39.1,31.6,26.7
Sparkle Arc B570 Guardian,[1/25],38.3,31.5,23.7
XFX RX 6600 CORE,[12/24],35.1,25.8,21.8
EVGA RTX 2060 KO,[12/24],30.6,24.2,20.5
EVGA RTX 3050 XC Black,[12/24],28.4,22.7,19.2
