GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],164.6,72.3,46.7
NVIDIA RTX 4090 Cybertank,[4/25],154.5,68.3,44.5
NVIDIA RTX 5080 FE,[1/25],132.3,59.7,37.9
NVIDIA RTX 4080 Super FE,[1/25],131.7,71.1,47.2
Sapphire RX 7900 XTX Nitro,[1/25],130.8,65.7,43.8
Sapphire RX 9070 XT Pulse,[3/25],126.6,54.9,35.9
ASUS RTX 5070 Ti Prime,[2/25],122.9,63.3,45.5
PowerColor RX 7900 XT Hellhound,[1/25],119.3,64.1,44.3
Sapphire RX 9070 Pulse,[2/25],117.6,59.5,37.6
ASUS RTX 4070 Ti TUF,[1/25],114.4,63.0,45.4
EVGA RTX 3090 Ti FTW3 Ultra,[1/25],105.2,66.4,44.4
NVIDIA RTX 5070 FE,[2/25],103.6,66.1,43.9
Sapphire RX 6950 XT Nitro,[1/25],101.1,62.6,42.0
Sapphire RX 7900 GRE Pulse,[3/25],99.6,64.1,42.7
NVIDIA RTX 4070 FE,[12/24],94.7,64.2,44.1
EVGA RTX 3080 FTW3 Ultra,[1/25],88.2,62.8,41.2
PNY RTX 5060 Ti,[4/25],81.9,57.0,41.8
NVIDIA RTX 3070 Ti FE,[2/25],76.1,56.3,44.1
NVIDIA RTX 4060 Ti FE,[12/24],73.6,56.4,42.4
XFX RX 7700 XT Black,[12/24],72.2,53.3,38.2
Colorful RTX 3070 BiliBili,[12/24],71.9,56.7,43.1
Gigabyte RTX 5060 Eagle OC,[5/25],65.9,52.8,40.3
EVGA RTX 3060 Ti FTW3,[12/24],63.9,49.5,36.6
ASUS RTX 4060 Dual,[12/24],61.8,43.0,37.4
XFX RX 6700 XT MERC Black,[12/24],58.1,43.6,36.1
AMD RX 7600 Ref,[12/24],53.3,42.1,32.6
Intel Arc B580 Ref,[12/24],51.2,44.5,18.6
EVGA RTX 3060 XC Black,[12/24],49.1,39.7,31.2
PowerColor RX 6600 XT Red Devil,[12/24],48.4,39.1,30.7
Sparkle Arc B570 Guardian,[1/25],46.5,35.3,16.9
Acer Arc A770 BiFrost,[12/24],44.0,35.3,22.7
EVGA RTX 2070,[2/25],44.0,35.1,29.8
XFX RX 6600 CORE,[12/24],40.8,32.9,26.1
Sparkle Arc A750 Titan,[12/24],40.3,32.4,19.2
EVGA RTX 2060 KO,[12/24],38.1,31.0,26.6
EVGA RTX 3050 XC Black,[12/24],37.4,30.3,26.5
EVGA GTX 1070 SC,[12/24],27.6,22.0,20.2
EVGA GTX 1060 SSC,[12/24],21.3,18.7,18.7
EVGA GTX 1650,[12/24],18.8,16.1,16.1
