GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],214.3,150.9,127.5
NVIDIA RTX 4090 Cybertank,[4/25],189.6,141.6,119.6
NVIDIA RTX 5080 FE,[1/25],165.1,134.4,113.6
NVIDIA RTX 4080 FE,[1/25],155.8,129.2,109.2
Sapphire RX 7900 XTX Nitro,[1/25],155.6,122.9,103.9
ASUS RTX 5070 Ti Prime,[2/25],151.4,124.1,104.9
Sapphire RX 9070 XT Pulse,[3/25],144.6,113.7,96.2
PowerColor RX 7900 XT Hellhound,[1/25],133.9,106.2,89.8
Sapphire RX 9070 Pulse,[2/25],133.5,101.9,86.2
ASUS RTX 4070 Ti TUF,[1/25],128.3,105.9,89.6
NVIDIA RTX 5070 FE,[2/25],125.6,103.1,87.2
Sapphire RX 7900 GRE Pulse,[3/25],111.7,87.9,74.3
Sapphire RX 6950 XT Nitro,[1/25],106.8,79.3,67.1
NVIDIA RTX 4070 FE,[12/24],104.0,85.4,72.2
AMD RX 7800 XT Ref,[12/24],100.5,78.3,66.2
EVGA RTX 3080 FTW3 Ultra,[1/25],96.8,79.8,67.5
PNY RTX 5060 Ti 16GB,[4/25],92.5,76.3,64.5
XFX RX 7700 XT Black,[12/24],87.3,68.4,57.8
NVIDIA RTX 3070 Ti FE,[2/25],84.2,68.6,58.0
NVIDIA RTX 4060 Ti FE,[12/24],77.8,64.7,54.7
Colorful RTX 3070 BiliBili,[12/24],77.2,63.6,53.8
Gigabyte RTX 5060 Eagle OC,[5/25],76.1,62.4,52.8
EVGA RTX 3060 Ti FTW3,[12/24],68.2,55.5,47.0
XFX RX 6700 XT MERC Black,[12/24],68.1,51.3,43.4
ASUS RTX 4060 Dual,[12/24],61.7,49.1,41.5
AMD RX 7600 Ref,[12/24],60.4,47.7,40.3
PowerColor RX 6600 XT Red Devil,[12/24],57.8,45.7,38.7
Intel Arc B580 Ref,[12/24],54.5,44.8,33.7
EVGA RTX 2070 Super XC Ultra,[2/25],53.6,40.9,34.6
Acer Arc A770 BiFrost,[12/24],51.8,43.0,32.3
EVGA RTX 3060 XC Black,[12/24],51.6,41.7,35.3
EVGA RTX 2070,[2/25],50.7,41.1,34.8
Sparkle Arc A750 Titan,[12/24],49.2,40.9,30.7
XFX RX 6600 CORE,[12/24],48.9,38.7,32.7
EVGA RTX 2060 KO,[12/24],39.8,31.6,26.7
EVGA RTX 3050 XC Black,[12/24],37.8,30.4,25.7
EVGA GTX 1070 SC,[12/24],30.9,24.6,20.8
EVGA GTX 1060 SSC,[12/24],22.6,17.8,15.1
