GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],107.6,67.9,45.6
NVIDIA RTX 4090 Cybertank,[4/25],92.4,62.8,41.3
Sapphire RX 7900 XTX Nitro,[1/25],76.7,57.0,42.2
NVIDIA RTX 5080 FE,[1/25],76.2,57.2,41.2
NVIDIA RTX 4080 Super FE,[1/25],71.8,53.7,40.3
NVIDIA RTX 4080 FE,[1/25],70.9,53.9,40.2
Sapphire RX 9070 XT Pulse,[3/25],70.2,55.0,41.3
ASUS RTX 5070 Ti Prime,[2/25],68.1,54.4,41.3
PowerColor RX 7900 XT Hellhound,[1/25],64.3,48.8,36.1
ASUS RTX 4070 Ti Super TUF,[1/25],63.2,50.0,40.6
Sapphire RX 9070 Pulse,[2/25],62.6,49.3,35.1
ASUS RTX 4070 Ti TUF,[1/25],58.6,46.7,36.8
NVIDIA RTX 5070 FE,[2/25],53.6,43.2,34.8
Sapphire RX 7900 GRE Pulse,[3/25],53.3,43.2,33.4
Sapphire RX 6950 XT Nitro,[1/25],50.7,41.7,32.9
AMD RX 7800 XT Ref,[12/24],47.8,39.3,29.7
EVGA RTX 3080 FTW3 Ultra,[1/25],47.5,38.7,31.0
PNY RTX 5060 Ti,[4/25],40.6,33.8,29.6
NVIDIA RTX 3070 Ti FE,[2/25],38.0,31.4,26.4
EVGA RTX 3080 Ti XC Ultra,[1/25],32.6,26.7,23.9
Gigabyte RTX 5060 Eagle OC,[5/25],32.5,27.3,24.0
NVIDIA RTX 2080 Super FE,[2/25],27.6,22.8,20.8
EVGA RTX 2080,[2/25],27.6,21.4,17.3
EVGA RTX 2070 Super XC Ultra,[2/25],24.2,19.9,17.3
EVGA RTX 2070,[2/25],21.9,18.1,16.1
