GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],113.4,97.1,81.8
NVIDIA RTX 4090 Cybertank,[4/25],83.9,73.0,61.6
NVIDIA RTX 5080 FE,[1/25],72.2,62.6,52.8
Sapphire RX 7900 XTX Nitro,[1/25],66.1,55.8,47.1
ASUS RTX 5070 Ti Prime,[2/25],63.3,55.1,46.5
NVIDIA RTX 4080 Super FE,[1/25],62.5,54.9,46.3
NVIDIA RTX 4080 FE,[1/25],62.1,54.8,46.2
Sapphire RX 9070 XT Pulse,[3/25],61.1,52.5,44.3
Sapphire RX 9070 Pulse,[2/25],55.9,48.0,40.5
EVGA RTX 3090 Ti FTW3 Ultra,[1/25],54.6,47.6,40.2
ASUS RTX 4070 Ti Super TUF,[1/25],53.7,47.0,39.7
PowerColor RX 7900 XT Hellhound,[1/25],52.8,45.1,38.1
NVIDIA RTX 5070 FE,[2/25],48.6,42.2,35.6
ASUS RTX 4070 Ti TUF,[1/25],47.1,41.7,35.2
Gigabyte Aorus RTX 3090 Master,[1/25],46.0,37.6,31.7
Sapphire RX 6950 XT Nitro,[1/25],44.5,36.0,30.4
Sapphire RX 7900 GRE Pulse,[3/25],43.0,36.9,31.1
EVGA RTX 3080 FTW3 Ultra,[1/25],42.4,36.0,30.4
PNY RTX 5060 Ti,[4/25],35.2,30.8,26.0
NVIDIA RTX 3070 Ti FE,[2/25],34.7,29.7,25.1
EVGA RTX 2080 Ti XC Ultra,[1/25],31.4,26.9,22.7
Gigabyte RTX 5060 Eagle OC,[5/25],29.8,25.8,21.8
NVIDIA RTX 2080 Super FE,[2/25],25.3,21.8,18.4
EVGA RTX 2080,[2/25],24.0,20.6,17.4
EVGA RTX 2070 Super XC Ultra,[2/25],22.3,19.0,16.1
EVGA RTX 2070,[2/25],20.2,17.2,14.5
