GPU_Model,Date,AVG_FPS,1%_Low,0.1%_Low
NVIDIA RTX 5090 FE,[1/25],159.8,126.9,107.3
NVIDIA RTX 4090 Cybertank,[4/25],133.4,108.4,91.7
NVIDIA RTX 5080 FE,[1/25],125.9,104.7,88.5
NVIDIA RTX 4080 Super FE,[1/25],117.3,95.8,81.0
ASUS RTX 5070 Ti Prime,[2/25],115.2,97.1,82.1
Sapphire RX 7900 XTX Nitro,[1/25],113.2,92.0,77.8
Sapphire RX 9070 XT Pulse,[3/25],111.8,93.9,79.4
Sapphire RX 9070 Pulse,[2/25],103.8,87.6,74.1
ASUS RTX 4070 Ti TUF,[1/25],100.3,84.5,71.5
NVIDIA RTX 5070 FE,[2/25],98.0,82.7,69.9
PowerColor RX 7900 XT Hellhound,[1/25],96.6,80.2,67.8
Sapphire RX 6950 XT Nitro,[1/25],84.7,72.5,61.3
Sapphire RX 7900 GRE Pulse,[3/25],83.3,69.6,58.9
NVIDIA RTX 4070 FE,[12/24],82.8,70.7,59.8
PNY RTX 5060 Ti,[4/25],80.8,69.5,58.8
EVGA RTX 3080 FTW3 Ultra,[1/25],80.4,67.8,57.4
AMD RX 7800 XT Ref,[12/24],77.1,65.3,55.2
NVIDIA RTX 3070 Ti FE,[2/25],68.2,58.4,49.4
XFX RX 7700 XT Black,[12/24],66.3,56.9,48.1
Gigabyte RTX 5060 Eagle OC,[5/25],65.7,57.5,48.6
NVIDIA RTX 4060 Ti FE,[12/24],65.0,55.7,47.1
Colorful RTX 3070 BiliBili,[12/24],63.0,53.9,45.6
EVGA RTX 3060 Ti FTW3,[12/24],57.9,49.5,41.9
XFX RX 6700 XT MERC Black,[12/24],55.8,48.8,41.3
ASUS RTX 4060 Dual,[12/24],54.2,47.1,39.8
AMD RX 7600 Ref,[12/24],46.3,40.6,34.3
Intel Arc B580 Ref,[12/24],45.7,33.7,26.9
EVGA RTX 3060 XC Black,[12/24],44.3,36.5,30.9
PowerColor RX 6600 XT Red Devil,[12/24],43.4,38.6,32.7
EVGA RTX 2070,[2/25],43.4,30.0,25.4
Acer Arc A770 BiFrost,[12/24],38.1,19.6,16.6
XFX RX 6600 CORE,[12/24],37.1,33.1,28.0
EVGA RTX 2060 KO,[12/24],35.7,31.1,26.3
Sparkle Arc A750 Titan,[12/24],35.5,27.1,22.9
EVGA RTX 3050 XC Black,[12/24],32.2,28.1,23.8
